timestamp,rows,time_taken,energy_consumption,future_temp,future_humi,current_temp,current_humi,FC_Unit_1_Status,FC_Unit_1_Fan_Status,FC_Unit_1_Set_Point,FC_Unit_1_Operation_Mode,FC_Unit_2_Status,FC_Unit_2_Fan_Status,FC_Unit_2_Set_Point,FC_Unit_2_Operation_Mode,FC_Unit_3_Status,FC_Unit_3_Fan_Status,FC_Unit_3_Set_Point,FC_Unit_3_Operation_Mode,FC_Unit_4_Status,FC_Unit_4_Fan_Status,FC_Unit_4_Set_Point,FC_Unit_4_Operation_Mode,FC_Unit_5_Status,FC_Unit_5_Fan_Status,FC_Unit_5_Set_Point,FC_Unit_5_Operation_Mode,FC_Unit_6_Status,FC_Unit_6_Fan_Status,FC_Unit_6_Set_Point,FC_Unit_6_Operation_Mode,FC_Unit_7_Status,FC_Unit_7_Fan_Status,FC_Unit_7_Set_Point,FC_Unit_7_Operation_Mode,FC_Unit_8_Status,FC_Unit_8_Fan_Status,FC_Unit_8_Set_Point,FC_Unit_8_Operation_Mode
1734353268,[],[],[],[],[],28.217,72.714,ON,VERY LOW,22.8,COOL,OFF,OFF,19.0,COOL,ON,VERY LOW,23.4,COOL,OFF,OFF,23.3,DRY,ON,VERY LOW,22.8,COOL,OFF,OFF,23.2,COOL,ON,MID,23.0,COOL,OFF,OFF,23.2,DRY
1734891432,[],[],[],[],[],27.929,70.125,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734892091,[],[],[],[],[],27.929,70.125,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734892751,[],[],[],[],[],27.929,70.125,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734893414,[],[],[],[],[],27.917,70.5,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734890448,[],[],[],[],[],27.914,70.125,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734888461,[],[],[],[],[],27.914,69.75,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734353594,[],[],[],[],[],27.914,71.438,ON,VERY LOW,22.8,COOL,OFF,OFF,19.0,COOL,ON,VERY LOW,23.4,COOL,OFF,OFF,23.3,DRY,ON,VERY LOW,22.8,COOL,OFF,OFF,23.2,COOL,ON,MID,23.0,COOL,OFF,OFF,23.2,DRY
1734889121,[],[],[],[],[],27.914,70.0,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
1734887468,[],[],[],[],[],27.914,69.375,ON,MID,23.2,COOL,ON,VERY LOW,22.9,COOL,ON,MID,22.8,DRY,ON,MID,22.5,COOL,OFF,OFF,22.9,COOL,ON,MID,22.9,COOL,OFF,OFF,22.8,COOL,ON,HIGH,23.3,DRY
